name,url,description,combined_text,text_for_embedding
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,,Professional + 7.1 (Americas) ,Professional + 7.1 (Americas) 
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,,Professional + 7.1 (International) ,Professional + 7.1 (International) 
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,,Professional 7.0 Solution ,Professional 7.0 Solution 
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,,Professional 7.1 (International) ,Professional 7.1 (International) 
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,,Professional 8.0 JFA ,Professional 8.0 JFA 
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,,Professional/Individual Contributor - Short Form ,Professional/Individual Contributor - Short Form 
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,,Project Manager - Short Form ,Project Manager - Short Form 
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,,Docker (New) ,Docker (New) 
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,,Dojo (New) ,Dojo (New) 
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,,Drupal (New) ,Drupal (New) 
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,,DSI v1.1 Interpretation Report ,DSI v1.1 Interpretation Report 
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,,Econometrics (New) ,Econometrics (New) 
